university_short_name,program_source_code,major_name_from_score,year,reason
HEH,7860218_Nu_N,Ngành Hậu cần Quân sự,2024,program_code không có trong course_catalog
NQH,7220204,Ngôn ngữ Trung Quốc,2021,program_code không có trong course_catalog
NQH,7310206,Quan hệ Quốc tế,2022,program_code không có trong course_catalog
NQH,7220204_Nam,Ngôn ngữ Trung Quốc (Thí sinh Nam),2025,program_code không có trong course_catalog
NQH,7220204_Nu,Ngôn ngữ Trung Quốc (Thí sinh Nữ),2025,program_code không có trong course_catalog
NQH,7310206_Nam,Quan hệ quốc tế (Thí sinh Nam),2025,program_code không có trong course_catalog
NQH,7310206_Nu,Quan hệ quốc tế (Thí sinh Nữ),2025,program_code không có trong course_catalog
HCP,7310112,Kinh tế số,2021,program_code không có trong course_catalog
HCP,7310206,Ngành Quản lý nhà nước,2025,program_code không có trong course_catalog
KMA,7520207,Kỹ thuật điện tử - viễn thông,2021,program_code không có trong course_catalog
HVN,HVN24,Bệnh học thủy sản,2022,program_code không có trong course_catalog
PKH,7520120,Ngành Kỹ thuật Hàng không,2021,program_code không có trong course_catalog
PKH,7520120_B,Ngành Kỹ thuật Hàng không (Thí sinh miền Bắc),2025,program_code không có trong course_catalog
PKH,7520120_N,Ngành Kỹ thuật Hàng không (Thí sinh miền Nam),2025,program_code không có trong course_catalog
HPN,7310301,Xã hội học,2021,program_code không có trong course_catalog
YQH,7720110,Y học dự phòng,2022,program_code không có trong course_catalog
YQH,7720201,Dược học,2023,program_code không có trong course_catalog
YQH,7720110_Nam_B,Y học dự phòng,2024,program_code không có trong course_catalog
YQH,7720110_Nam_N,Y học dự phòng,2024,program_code không có trong course_catalog
YQH,7720201_Nam_B,Dược học,2024,program_code không có trong course_catalog
YQH,7720201_Nam_N,Dược học,2024,program_code không có trong course_catalog
YQH,7720201_Nu_B,Dược học,2024,program_code không có trong course_catalog
YQH,7720201_Nu_N,Dược học,2024,program_code không có trong course_catalog
HTC,7340201C06,Hải quan & Logistics,2021,program_code không có trong course_catalog
HTC,7340405,Hệ thống thông tin quản lý,2021,program_code không có trong course_catalog
HTC,73402011,Tài chính - Ngân hàng 1,2022,program_code không có trong course_catalog
HTC,73402012,Tài chính - Ngân hàng 2,2022,program_code không có trong course_catalog
HTC,73402013,Tài chính - Ngân hàng 3,2022,program_code không có trong course_catalog
HTC,7340201C09,Phân tích tài chính (Chất lượng cao),2023,program_code không có trong course_catalog
HTC,7340201C11,Tài chính doanh nghiệp (Chất lượng cao),2023,program_code không có trong course_catalog
HTC,7340301C21,Kế toán doanh nghiệp (Chất lượng cao),2023,program_code không có trong course_catalog
QHS,GD1,Sư phạm Toán và KHTN,2021,program_code không có trong course_catalog
QHT,QHT97,Công nghệ quan trắc và giám sát tài nguyên môi trường,2021,program_code không có trong course_catalog
QHE,QHE80,"Quản trị kinh doanh (do Đại học Troy, Hoa Kỳ cấp bằng)",2021,program_code không có trong course_catalog
QHE,QHE89,"Quản trị kinh doanh (do Đại học St.Francis, Hoa Kỳ cấp bằng)",2021,program_code không có trong course_catalog
QHQ,7340108,Quản lí (song bằng VNU-Keuka),2023,program_code không có trong course_catalog
QHQ,7340115,Marketing (song bằng VNU-HELP),2023,program_code không có trong course_catalog
QHF,7903124QT,Kinh tế – Tài chính**,2021,program_code không có trong course_catalog
QHF,7903124,Kinh tế - Tài chính (CTĐT LTQT),2023,program_code không có trong course_catalog
BKA,EE-Epy,Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV),2022,suffix code không khớp catalog (base code tồn tại)
BKA,ME-Guy,Cơ khí - Chế tạo máy - hợp tác với ĐH Griffith (Úc),2022,suffix code không khớp catalog (base code tồn tại)
BKA,TE-Epy,Cơ khí hàng không (Chương trình Việt - Pháp PFIEV),2022,suffix code không khớp catalog (base code tồn tại)
BKA,EE-Epx,Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV),2022,suffix code không khớp catalog (base code tồn tại)
BKA,ME-Gux,Cơ khí - Chế tạo máy - hợp tác với ĐH Griffith (Úc),2022,suffix code không khớp catalog (base code tồn tại)
BKA,TE-Epx,Cơ khí hàng không (Chương trình Việt - Pháp PFIEV),2022,suffix code không khớp catalog (base code tồn tại)
GHA,7510104,Công nghệ kỹ thuật giao thông,2021,program_code không có trong course_catalog
GHA,7520219,Hệ thống giao thông thông minh,2022,program_code không có trong course_catalog
KHA,CT2,Tài chính công,2021,program_code không có trong course_catalog
KHA,POHE,Các chương trình định hướng ứng dụng (POHE - tiếng Anh hệ số 2),2021,program_code không có trong course_catalog
NTH,NTH01-01,Nhóm ngành Luật,2021,program_code không có trong course_catalog
NTH,NTH01-02,Ngành Kinh tế; Kinh tế Quốc tế,2021,program_code không có trong course_catalog
NTH,NTH02,"Quản trị kinh doanh, Kinh doanh quốc tế, Quản trị khách sạn",2021,program_code không có trong course_catalog
NTH,NTH03,Nhóm ngành (Tài chính - Ngân Hàng; Kế toán),2021,program_code không có trong course_catalog
NTH,NTH04,Ngôn ngữ Anh,2021,program_code không có trong course_catalog
NTH,NTH05,Ngôn Ngữ Pháp,2021,program_code không có trong course_catalog
NTH,NTH06,Ngôn ngữ Trung,2021,program_code không có trong course_catalog
NTH,NTH07,Ngôn ngữ Nhật,2021,program_code không có trong course_catalog
NTH,NTH08,"Kế toán, Kinh doanh quốc tế",2021,program_code không có trong course_catalog
NTH,NTH09,Ngành Kinh tế chính trị,2023,program_code không có trong course_catalog
NTH,KDQH1.1,Chương trình tiêu chuẩn Kinh doanh quốc tế,2024,program_code không có trong course_catalog
NTH,KDQH2.1,Chương trình CLC Kinh doanh quốc tế,2024,program_code không có trong course_catalog
NTH,KDQH2.2,Chương trình ĐHNNQT Logistics và Quản lý chuỗi cung ứng,2024,program_code không có trong course_catalog
NTH,KDQH2.3,Chương trình ĐHNNQT Kinh doanh quốc tế theo mô hình tiên tiến Nhật Bản,2024,program_code không có trong course_catalog
NTH,KDQH2.4,Chương trình ĐHNNQT Kinh doanh số,2024,program_code không có trong course_catalog
NTH,KDQH4.1,Chương trình tiên tiến i-Hons hợp tác với Đại học Queensland về Kinh doanh quốc tế và Phân tích dữ liệu kinh doanh,2024,program_code không có trong course_catalog
NTH,KHMH2.1,Chương trình ĐHNNQT Khoa học máy tính và dữ liệu trong kinh tế và kinh doanh,2024,program_code không có trong course_catalog
NTH,KTCH2.1,Chương trình ĐHPTQT Kinh tế chính trị quốc tế,2024,program_code không có trong course_catalog
NTH,KTEH1.1,Chương trình tiêu chuẩn Kinh tế đối ngoại,2024,program_code không có trong course_catalog
NTH,KTEH1.2,Chương trình tiêu chuẩn Thương mại quốc tế,2024,program_code không có trong course_catalog
NTH,KTEH2.1,Chương trình CLC Kinh tế đối ngoại,2024,program_code không có trong course_catalog
NTH,KTEH4.1,Chương trình tiên tiến Kinh tế đối ngoại,2024,program_code không có trong course_catalog
NTH,KTKH1.1,Chương trình tiêu chuẩn Kế toán - Kiểm toán,2024,program_code không có trong course_catalog
NTH,KTKH2.1,Chương trình ĐHNNQT Kế toán - Kiểm toán theo định hướng ACCA,2024,program_code không có trong course_catalog
NTH,KTKQ1.1,Chương trình tiêu chuẩn Kế toán - Kiểm toán,2024,program_code không có trong course_catalog
NTH,KTQH1.1,Chương trình tiêu chuẩn Kinh tế quốc tế,2024,program_code không có trong course_catalog
NTH,KTQH1.2,Chương trình tiêu chuẩn Kinh tế và Phát triển quốc tế,2024,program_code không có trong course_catalog
NTH,KTQH2.1,Chương trình CLC Kinh tế quốc tế,2024,program_code không có trong course_catalog
NTH,LAWH1.1,Chương trình tiêu chuẩn Luật thương mại quốc tế,2024,program_code không có trong course_catalog
NTH,LAWH2.1,Chương trình ĐHNNQT Luật Kinh doanh quốc tế theo mô hình thực hành nghề nghiệp,2024,program_code không có trong course_catalog
NTH,MKTH2.1,Chương trình ĐHNNQT Marketing số,2024,program_code không có trong course_catalog
NTH,NNAH1.1,Chương trình tiêu chuẩn Tiếng Anh Thương mại,2024,program_code không có trong course_catalog
NTH,NNAH2.1,Chương trình CLC Tiếng Anh Thương mại,2024,program_code không có trong course_catalog
NTH,NNNH1.1,Chương trình tiêu chuẩn Tiếng Nhật thương mại,2024,program_code không có trong course_catalog
NTH,NNNH2.1,Chương trình CLC ngành Tiếng Nhật thương mại,2024,program_code không có trong course_catalog
NTH,NNPH1.1,Chương trình tiêu chuẩn Tiếng Pháp thương mại,2024,program_code không có trong course_catalog
NTH,NNPH2.1,Chương trình CLC Tiếng Pháp thương mại,2024,program_code không có trong course_catalog
NTH,NNTH1.1,Chương trình tiêu chuẩn Tiếng Trung Thương mại,2024,program_code không có trong course_catalog
NTH,NNTH2.1,Chương trình CLC Tiếng Trung Thương mại,2024,program_code không có trong course_catalog
NTH,NTH10,Ngành Khoa học máy tính,2024,program_code không có trong course_catalog
NTH,QKSH2.1,Chương trình ĐHNNQT Quản trị khách sạn,2024,program_code không có trong course_catalog
NTH,QTKH1.1,Chương trình tiêu chuẩn Quản trị kinh doanh quốc tế,2024,program_code không có trong course_catalog
NTH,QTKH2.1,Chương trình CLC Quản trị kinh doanh quốc tế,2024,program_code không có trong course_catalog
NTH,QTKH4.1,Chương trình tiên tiến Quản trị kinh doanh quốc tế,2024,program_code không có trong course_catalog
NTH,TCHH1.1,Chương trình tiêu chuẩn Tài chính quốc tế,2024,program_code không có trong course_catalog
NTH,TCHH1.2,Chương trình tiêu chuẩn Ngân hàng,2024,program_code không có trong course_catalog
NTH,TCHH1.3,Chương trình tiêu chuẩn Phân tích và đầu tư tài chính,2024,program_code không có trong course_catalog
NTH,TCHH2.1,Chương trình CLC Ngân hàng và Tài chính quốc tế,2024,program_code không có trong course_catalog
NTH,TCHH4.1,Chương trình tiên tiến Tài chính - Ngân hàng,2024,program_code không có trong course_catalog
NTH,KHMH2 .1,Chương trình Khoa học máy tính và dữ liệu trong kinh tế và kinh doanh,2025,program_code không có trong course_catalog
NTH,KDQQ1.1,Chương trình tiêu chuẩn Kinh doanh quốc tế,2024,program_code không có trong course_catalog
DDL,7340201,Tài chính - Ngân hàng (Gồm 2 chuyên ngành: Tài chính doanh nghiệp: Ngân hàng),2021,program_code không có trong course_catalog
DDL,7510605,Logistics và Quản lý chuỗi cung ứng,2021,program_code không có trong course_catalog
DDL,7340205,Công nghệ tài chính,2025,program_code không có trong course_catalog
DDL,7460108,Khoa học dữ liệu,2025,program_code không có trong course_catalog
MDA,7340101,Quản trị kinh doanh,2021,program_code không có trong course_catalog
MHN,7210402,Thiết kế công nghiệp,2022,program_code không có trong course_catalog
GTA,7340101,Quản trị kinh doanh,2021,program_code không có trong course_catalog
GTA,7340201,Tài chính - Ngân hàng,2021,program_code không có trong course_catalog
GTA,7340301VP,Kế toán (học tại cơ sở VP),2021,program_code không có trong course_catalog
GTA,7480102,Mạng máy tính và truyền thông dữ liệu,2021,program_code không có trong course_catalog
GTA,7510102,Công nghệ kỹ thuật Công trình xây dựng,2021,program_code không có trong course_catalog
GTA,7510102TN,CNKT Công trình xây dựng (học tại cơ sở TN),2021,program_code không có trong course_catalog
GTA,7510102VP,CNKT Công trình xây dựng (học tại cơ sở VP),2021,program_code không có trong course_catalog
GTA,7510104,Công nghệ kỹ thuật Giao thông,2021,program_code không có trong course_catalog
GTA,7510104TN,CNKT Giao thông (học tại cơ sở TN),2021,program_code không có trong course_catalog
GTA,7510104VP,CNKT Giao thông (học tại cơ sở VP),2021,program_code không có trong course_catalog
GTA,7510201,Công nghệ kỹ thuật Cơ khí,2021,program_code không có trong course_catalog
GTA,7510205TN,CNKT Ô tô (học tại cơ sở TN),2021,program_code không có trong course_catalog
GTA,7510205VP,CNKT Ô tô (học tại cơ sở VP),2021,program_code không có trong course_catalog
GTA,7510302VP,CNKT Điện tử - viễn thông (học tại cơ sở VP),2021,program_code không có trong course_catalog
GTA,7510406,Công nghệ kỹ thuật Môi trường,2021,program_code không có trong course_catalog
GTA,7840101,Khai thác vận tải,2021,program_code không có trong course_catalog
GTA,GTADCCD3,CNKT XD Cầu đường bộ (học tại Thái Nguyên),2022,program_code không có trong course_catalog
GTA,GTADCDD1,Công nghệ kỹ thuật XDCT DD&CN (học tại Vĩnh Phúc),2022,program_code không có trong course_catalog
GTA,GTADCDT1,CNKT Điện tử - viễn thông (học tại Vĩnh Phúc),2022,program_code không có trong course_catalog
GTA,GTADCTM2,Mạng máy tính và truyền thông dữ liệu,2022,program_code không có trong course_catalog
GTA,GTADCCK2,Công nghệ kỹ thuật Cơ khí,2023,program_code không có trong course_catalog
GTA,GTADCDX2,CNKT công trình XD dân dụng và công nghiệp,2024,program_code không có trong course_catalog
GTA,GTADCSS2,Xây dựng Cầu - Đường sắt,2024,program_code không có trong course_catalog
GTA,7840101TN,Khai thác vận tải (TN),2021,program_code không có trong course_catalog
GTA,GTADCDD3,Công nghệ kỹ thuật XDCT DD&CN (học tại Thái Nguyên),2022,program_code không có trong course_catalog
GTA,GTADCBM2,Mô hình thông tin công trình (BIM) trong dự án HTGT,2024,program_code không có trong course_catalog
GTA,GTADCCS2,CNKT xây dựng Đường sắt - Metro,2024,program_code không có trong course_catalog
GTA,GTADCDS2,Xây dựng Cầu – đường sắt,2024,program_code không có trong course_catalog
VHH,7220112A,Văn hoá các DTTS Việt Nam - Tổ chức và quản lý văn hóa vùng DTTS,2021,program_code không có trong course_catalog
VHH,7220112B,Văn hoá các DTTS Việt Nam - Tổ chức và quản lý du lịch vùng DTTS,2021,program_code không có trong course_catalog
DMT,7420203,Sinh học ứng dụng,2021,program_code không có trong course_catalog
DTL,7480102,Mạng máy tính và truyền thông dữ liệu,2021,program_code không có trong course_catalog
DTL,7720401,Dinh dưỡng,2021,program_code không có trong course_catalog
DTL,7760101,Công tác xã hội,2021,program_code không có trong course_catalog
PKA,ENV1,KHOA HỌC MÔI TRƯỜNG (SỨC KHOẺ MÔI TRƯỜNG VÀ PHÁT TRIỂN BỀN VỮNG),2021,program_code không có trong course_catalog
PKA,FSP1,VẬT LÝ (VẬT LÝ TÀI NĂNG),2021,program_code không có trong course_catalog
DKK,7540202,"Ngành Công nghệ sợi, dệt",2021,program_code không có trong course_catalog
DKK,7540202DKD,"Công nghệ sợi, dệt",2023,program_code không có trong course_catalog
DKK,7540202DKK,"Công nghệ sợi, dệt",2023,program_code không có trong course_catalog
DKS,7380101,Luật - Thí sinh Nữ phía Nam,2021,program_code không có trong course_catalog
YTC,7510406,Công nghệ kỹ thuật môi trường,2021,program_code không có trong course_catalog
DQK,7210402,Thiết kế công nghiệp,2021,program_code không có trong course_catalog
HNM,7850201,Bảo hộ lao động,2023,program_code không có trong course_catalog
TDD,7380107,Luật kinh tế,2022,program_code không có trong course_catalog
LAH,7860222_QK1,Quân sự cơ sở - Quân khu 1,2025,program_code không có trong course_catalog
LAH,7860222_QK2,Quân sự cơ sở - Quân khu 2,2025,program_code không có trong course_catalog
LAH,7860222_QK3,Quân sự cơ sở - Quân khu 3,2025,program_code không có trong course_catalog
LAH,7860222_QK4,Quân sự cơ sở - Quân khu 4,2025,program_code không có trong course_catalog
ETU,7320106,Công nghệ truyền thông,2021,program_code không có trong course_catalog
ETU,7520207,Kỹ thuật điện tử - viễn thông,2021,program_code không có trong course_catalog
ETU,7580201,Kỹ thuật xây dựng,2021,program_code không có trong course_catalog
ETU,7760101,Công tác xã hội,2021,program_code không có trong course_catalog
ETU,7210404,Thiết kế thời trang,2022,program_code không có trong course_catalog
ETU,7580101,Kiến trúc,2021,program_code không có trong course_catalog
CMC,7210404,Thiết kế Thời trang,2021,program_code không có trong course_catalog
CMC,7580108,Thiết kế Nội thất,2021,program_code không có trong course_catalog
CMC,7220209,Ngôn ngữ Nhật,2022,program_code không có trong course_catalog
CMC,JL,Ngôn ngữ Nhật,2024,program_code không có trong course_catalog
CMC,ET,Công nghệ Kỹ thuật Điện tử - Viễn thông (IC Design),2025,program_code không có trong course_catalog
LNH,7440301,Khoa học môi trường,2021,program_code không có trong course_catalog
LNH,7620201,Lâm học,2021,program_code không có trong course_catalog
LNH,7580302,Quản lý xây dựng,2024,program_code không có trong course_catalog
NTU,7510102,Công nghệ kỹ thuật công trình xây dựng,2021,program_code không có trong course_catalog
NTU,7520320,Kỹ thuật môi trường,2021,program_code không có trong course_catalog
DPD,7340301,Kế toán,2021,program_code không có trong course_catalog
DPD,7420201,Công nghệ sinh học,2021,program_code không có trong course_catalog
DPD,7510301,Công nghệ kỹ thuật Điện - Điện tử,2021,program_code không có trong course_catalog
DCQ,7220202,Ngôn ngữ Nga,2021,program_code không có trong course_catalog
DDU,7580201,Kỹ thuật xây dựng,2021,program_code không có trong course_catalog
DDU,7510406,Công nghệ kỹ thuật môi trường,2022,program_code không có trong course_catalog
DDU,7580101,Kiến trúc,2022,program_code không có trong course_catalog
