university_short_name,program_source_code,major_name_from_score,reason
NQH,7310206,Quan hệ Quốc tế,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NQH,7220204_Nam,Ngôn ngữ Trung Quốc (Thí sinh Nam),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NQH,7220204_Nu,Ngôn ngữ Trung Quốc (Thí sinh Nữ),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NQH,7310206_Nam,Quan hệ quốc tế (Thí sinh Nam),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NQH,7310206_Nu,Quan hệ quốc tế (Thí sinh Nữ),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HVN,HVN24,Bệnh học thủy sản,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
PKH,7520120,Ngành Kỹ thuật Hàng không,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
PKH,7520120_B,Ngành Kỹ thuật Hàng không (Thí sinh miền Bắc),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
PKH,7520120_N,Ngành Kỹ thuật Hàng không (Thí sinh miền Nam),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HPN,7310301,Xã hội học,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
YQH,7720110,Y học dự phòng,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
YQH,7720201,Dược học,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
YQH,7720110_Nam_B,Y học dự phòng,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
YQH,7720110_Nam_N,Y học dự phòng,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
YQH,7720201_Nam_B,Dược học,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
YQH,7720201_Nam_N,Dược học,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
YQH,7720201_Nu_B,Dược học,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
YQH,7720201_Nu_N,Dược học,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HTC,7340201C06,Hải quan & Logistics,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HTC,7340405,Hệ thống thông tin quản lý,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HTC,73402011,Tài chính - Ngân hàng 1,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HTC,73402012,Tài chính - Ngân hàng 2,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HTC,73402013,Tài chính - Ngân hàng 3,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HTC,7340201C09,Phân tích tài chính (Chất lượng cao),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HTC,7340201C11,Tài chính doanh nghiệp (Chất lượng cao),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HTC,7340301C21,Kế toán doanh nghiệp (Chất lượng cao),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HTC,7340201QT01.09,Phân tích tài chính (theo định hướng ICAEW),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
QHS,GD1,Sư phạm Toán và KHTN,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
QHT,QHT97,Công nghệ quan trắc và giám sát tài nguyên môi trường,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
QHE,QHE41,Tài chính - ngân hàng,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
QHE,QHE80,"Quản trị kinh doanh (do Đại học Troy, Hoa Kỳ cấp bằng)",program_code không có trong course_catalog (dữ liệu vẫn được giữ)
QHE,QHE89,"Quản trị kinh doanh (do Đại học St.Francis, Hoa Kỳ cấp bằng)",program_code không có trong course_catalog (dữ liệu vẫn được giữ)
QHF,7903124QT,Kinh tế – Tài chính**,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
QHF,7903124,Kinh tế - Tài chính (CTĐT LTQT),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
QHQ,7340108,Quản lí (song bằng VNU-Keuka),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
QHQ,7340115,Marketing (song bằng VNU-HELP),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
BKA,EE-Epy,Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
BKA,ME-Guy,Cơ khí - Chế tạo máy - hợp tác với ĐH Griffith (Úc),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
BKA,TE-Epy,Cơ khí hàng không (Chương trình Việt - Pháp PFIEV),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
BKA,EE-Epx,Tin học công nghiệp và Tự động hóa (Chương trình Việt - Pháp PFIEV),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
BKA,IT-Epx,Công nghệ thông tin (Việt - Pháp),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
BKA,ME-Gux,Cơ khí - Chế tạo máy - hợp tác với ĐH Griffith (Úc),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
BKA,TE-Epx,Cơ khí hàng không (Chương trình Việt - Pháp PFIEV),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
KHA,CT2,Tài chính công,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
KHA,POHE,Các chương trình định hướng ứng dụng (POHE - tiếng Anh hệ số 2),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
KHA,73101013,Kinh tế và QL NNL (ngành Kinh tế),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,NTH01-01,Nhóm ngành Luật,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,NTH01-02,Ngành Kinh tế; Kinh tế Quốc tế,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,NTH02,"Quản trị kinh doanh, Kinh doanh quốc tế, Quản trị khách sạn",program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,NTH03,Nhóm ngành (Tài chính - Ngân Hàng; Kế toán),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,NTH04,Ngôn ngữ Anh,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,NTH05,Ngôn Ngữ Pháp,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,NTH06,Ngôn ngữ Trung,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,NTH07,Ngôn ngữ Nhật,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,NTH08,"Kế toán, Kinh doanh quốc tế",program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,NTH09,Ngành Kinh tế chính trị,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,KDQH1.1,Chương trình tiêu chuẩn Kinh doanh quốc tế,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,KDQH2.1,Chương trình CLC Kinh doanh quốc tế,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,KDQH2.2,Chương trình ĐHNNQT Logistics và Quản lý chuỗi cung ứng,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,KDQH2.3,Chương trình ĐHNNQT Kinh doanh quốc tế theo mô hình tiên tiến Nhật Bản,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,KDQH2.4,Chương trình ĐHNNQT Kinh doanh số,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,KDQH4.1,Chương trình tiên tiến i-Hons hợp tác với Đại học Queensland về Kinh doanh quốc tế và Phân tích dữ liệu kinh doanh,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,KHMH2.1,Chương trình ĐHNNQT Khoa học máy tính và dữ liệu trong kinh tế và kinh doanh,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,KTCH2.1,Chương trình ĐHPTQT Kinh tế chính trị quốc tế,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,KTEH1.1,Chương trình tiêu chuẩn Kinh tế đối ngoại,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,KTEH1.2,Chương trình tiêu chuẩn Thương mại quốc tế,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,KTEH2.1,Chương trình CLC Kinh tế đối ngoại,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,KTEH4.1,Chương trình tiên tiến Kinh tế đối ngoại,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,KTKH1.1,Chương trình tiêu chuẩn Kế toán - Kiểm toán,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,KTKH2.1,Chương trình ĐHNNQT Kế toán - Kiểm toán theo định hướng ACCA,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,KTKQ1.1,Chương trình tiêu chuẩn Kế toán - Kiểm toán,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,KTQH1.1,Chương trình tiêu chuẩn Kinh tế quốc tế,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,KTQH1.2,Chương trình tiêu chuẩn Kinh tế và Phát triển quốc tế,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,KTQH2.1,Chương trình CLC Kinh tế quốc tế,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,LAWH1.1,Chương trình tiêu chuẩn Luật thương mại quốc tế,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,LAWH2.1,Chương trình ĐHNNQT Luật Kinh doanh quốc tế theo mô hình thực hành nghề nghiệp,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,MKTH2.1,Chương trình ĐHNNQT Marketing số,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,NNAH1.1,Chương trình tiêu chuẩn Tiếng Anh Thương mại,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,NNAH2.1,Chương trình CLC Tiếng Anh Thương mại,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,NNNH1.1,Chương trình tiêu chuẩn Tiếng Nhật thương mại,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,NNNH2.1,Chương trình CLC ngành Tiếng Nhật thương mại,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,NNPH1.1,Chương trình tiêu chuẩn Tiếng Pháp thương mại,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,NNPH2.1,Chương trình CLC Tiếng Pháp thương mại,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,NNTH1.1,Chương trình tiêu chuẩn Tiếng Trung Thương mại,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,NNTH2.1,Chương trình CLC Tiếng Trung Thương mại,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,NTH10,Ngành Khoa học máy tính,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,QKSH2.1,Chương trình ĐHNNQT Quản trị khách sạn,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,QTKH1.1,Chương trình tiêu chuẩn Quản trị kinh doanh quốc tế,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,QTKH2.1,Chương trình CLC Quản trị kinh doanh quốc tế,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,QTKH4.1,Chương trình tiên tiến Quản trị kinh doanh quốc tế,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,TCHH1.1,Chương trình tiêu chuẩn Tài chính quốc tế,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,TCHH1.2,Chương trình tiêu chuẩn Ngân hàng,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,TCHH1.3,Chương trình tiêu chuẩn Phân tích và đầu tư tài chính,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,TCHH2.1,Chương trình CLC Ngân hàng và Tài chính quốc tế,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,TCHH4.1,Chương trình tiên tiến Tài chính - Ngân hàng,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,KHMH2 .1,Chương trình Khoa học máy tính và dữ liệu trong kinh tế và kinh doanh,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTH,KDQQ1.1,Chương trình tiêu chuẩn Kinh doanh quốc tế,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GHA,7510104,Công nghệ kỹ thuật giao thông,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GHA,7520219,Hệ thống giao thông thông minh,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
XDA,XDA12,Ngành Kỹ thuật Cấp thoát nước / Chuyên ngành Kỹ thuật nước - Môi trường nước,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
XDA,XDA24,Ngành Quản lý xây dựng/ Chuyên ngành Kinh tế và quản lý đô thị,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
XDA,XDA25,Ngành Quản lý xây dựng/ Chuyên ngành Kinh tế và quản lý bất động sản,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
XDA,XDA26,Ngành Logistics và Quản lý chuỗi cung ứng,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
XDA,XDA29,"Ngành Quản lý xây dựng/ Chuyên ngành Quản lý hạ tầng, đất đai đô thị",program_code không có trong course_catalog (dữ liệu vẫn được giữ)
DDL,7340201,Tài chính - Ngân hàng (Gồm 2 chuyên ngành: Tài chính doanh nghiệp: Ngân hàng),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
DDL,7510605,Logistics và Quản lý chuỗi cung ứng,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
DDL,7340205,Công nghệ tài chính,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
DDL,7460108,Khoa học dữ liệu,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
MDA,7340101,Quản trị kinh doanh,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
MHN,7210402,Thiết kế công nghiệp,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,7340101,Quản trị kinh doanh,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,7340201,Tài chính - Ngân hàng,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,7340301VP,Kế toán (học tại cơ sở VP),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,7480102,Mạng máy tính và truyền thông dữ liệu,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,7510102,Công nghệ kỹ thuật Công trình xây dựng,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,7510102TN,CNKT Công trình xây dựng (học tại cơ sở TN),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,7510102VP,CNKT Công trình xây dựng (học tại cơ sở VP),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,7510104,Công nghệ kỹ thuật Giao thông,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,7510104TN,CNKT Giao thông (học tại cơ sở TN),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,7510104VP,CNKT Giao thông (học tại cơ sở VP),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,7510201,Công nghệ kỹ thuật Cơ khí,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,7510203,Công nghệ kỹ thuật Cơ - điện tử,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,7510205TN,CNKT Ô tô (học tại cơ sở TN),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,7510205VP,CNKT Ô tô (học tại cơ sở VP),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,7510302VP,CNKT Điện tử - viễn thông (học tại cơ sở VP),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,7510406,Công nghệ kỹ thuật Môi trường,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,7840101,Khai thác vận tải,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,GTADCCD3,CNKT XD Cầu đường bộ (học tại Thái Nguyên),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,GTADCDD1,Công nghệ kỹ thuật XDCT DD&CN (học tại Vĩnh Phúc),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,GTADCDT1,CNKT Điện tử - viễn thông (học tại Vĩnh Phúc),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,GTADCTM2,Mạng máy tính và truyền thông dữ liệu,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,GTADCCK2,Công nghệ kỹ thuật Cơ khí,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,GTADCDX2,CNKT công trình XD dân dụng và công nghiệp,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,GTADCSS2,Xây dựng Cầu - Đường sắt,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,7840101TN,Khai thác vận tải (TN),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,GTADCDD3,Công nghệ kỹ thuật XDCT DD&CN (học tại Thái Nguyên),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,GTADCBM2,Mô hình thông tin công trình (BIM) trong dự án HTGT,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,GTADCCS2,CNKT xây dựng Đường sắt - Metro,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
GTA,GTADCDS2,Xây dựng Cầu – đường sắt,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
VHH,7220112A,Văn hoá các DTTS Việt Nam - Tổ chức và quản lý văn hóa vùng DTTS,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
VHH,7220112B,Văn hoá các DTTS Việt Nam - Tổ chức và quản lý du lịch vùng DTTS,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
DMT,7420203,Sinh học ứng dụng,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
DTL,7480102,Mạng máy tính và truyền thông dữ liệu,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
DTL,7720401,Dinh dưỡng,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
DTL,7760101,Công tác xã hội,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
DKK,7540202,"Ngành Công nghệ sợi, dệt",program_code không có trong course_catalog (dữ liệu vẫn được giữ)
DKK,7540202DKD,"Công nghệ sợi, dệt",program_code không có trong course_catalog (dữ liệu vẫn được giữ)
DKK,7540202DKK,"Công nghệ sợi, dệt",program_code không có trong course_catalog (dữ liệu vẫn được giữ)
DKK,7540106DKD,Đảm bảo chất lượng và an toàn thực phẩm (CS Nam Định),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
DKK,7540203DKD,"Công nghệ vật liệu dệt, may (CS Nam Định)",program_code không có trong course_catalog (dữ liệu vẫn được giữ)
PKA,ENV1,KHOA HỌC MÔI TRƯỜNG (SỨC KHOẺ MÔI TRƯỜNG VÀ PHÁT TRIỂN BỀN VỮNG),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
PKA,FSP1,VẬT LÝ (VẬT LÝ TÀI NĂNG),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
DKS,7380101,Luật - Thí sinh Nữ phía Nam,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
YTC,7510406,Công nghệ kỹ thuật môi trường,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
DQK,7210402,Thiết kế công nghiệp,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
HNM,7850201,Bảo hộ lao động,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
LAH,7860222_QK1,Quân sự cơ sở - Quân khu 1,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
LAH,7860222_QK2,Quân sự cơ sở - Quân khu 2,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
LAH,7860222_QK3,Quân sự cơ sở - Quân khu 3,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
LAH,7860222_QK4,Quân sự cơ sở - Quân khu 4,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
TDD,7380107,Luật kinh tế,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
CMC,7210404,Thiết kế Thời trang,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
CMC,7580108,Thiết kế Nội thất,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
CMC,7220209,Ngôn ngữ Nhật,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
CMC,JL,Ngôn ngữ Nhật,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
CMC,ET,Công nghệ Kỹ thuật Điện tử - Viễn thông (IC Design),program_code không có trong course_catalog (dữ liệu vẫn được giữ)
ETU,7320106,Công nghệ truyền thông,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
ETU,7520207,Kỹ thuật điện tử - viễn thông,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
ETU,7580201,Kỹ thuật xây dựng,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
ETU,7760101,Công tác xã hội,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
ETU,7210404,Thiết kế thời trang,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
ETU,7580101,Kiến trúc,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
LNH,7440301,Khoa học môi trường,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
LNH,7620201,Lâm học,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
LNH,7580302,Quản lý xây dựng,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTU,7510102,Công nghệ kỹ thuật công trình xây dựng,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
NTU,7520320,Kỹ thuật môi trường,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
DPD,7340301,Kế toán,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
DPD,7420201,Công nghệ sinh học,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
DPD,7510301,Công nghệ kỹ thuật Điện - Điện tử,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
DCQ,7220202,Ngôn ngữ Nga,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
DDU,7580201,Kỹ thuật xây dựng,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
DDU,7510406,Công nghệ kỹ thuật môi trường,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
DDU,7580101,Kiến trúc,program_code không có trong course_catalog (dữ liệu vẫn được giữ)
