code,subject_1,subject_2,subject_3
X12,Toán,Sinh,Địa lý
X13,Toán,Lịch sử,Địa lý
X14,Toán,Lý,Giáo dục công dân
X15,Toán,Hóa,Giáo dục công dân
X16,Toán,Sinh,Giáo dục công dân
X17,Toán,Lịch sử,Giáo dục công dân
X18,Toán,Địa lý,Giáo dục công dân
X21,Văn,Toán,Lý
X22,Văn,Toán,Hóa
X23,Văn,Toán,Sinh
X24,Văn,Toán,Tiếng Anh
X25,Văn,Toán,Lịch sử
X26,Văn,Toán,Địa lý
X27,Văn,Toán,Giáo dục công dân
X28,Văn,Lý,Tiếng Anh
X37,Văn,Sử,Địa
X53,Lý,Hóa,Sinh
X56,Lý,Hóa,Tiếng Anh
X57,Lý,Sinh,Tiếng Anh
X58,Hóa,Sinh,Tiếng Anh
X62,Lý,Hóa,Lịch sử
X70,Lý,Hóa,Địa lý
X71,Lý,Sinh,Địa lý
X74,Lý,Lịch sử,Địa lý
X78,Hóa,Sinh,Lịch sử
X79,Hóa,Sinh,Địa lý
X80,Hóa,Lịch sử,Địa lý
X90,Sinh,Lịch sử,Địa lý
Y09,Toán,Lý,Hóa
