rerank_rank,institution,method_group,in_2026_top_100,source_year,penalty_multiplier,rerank_score_100,recognized_quality_score_100,teaching_score_100,publications_score_100,science_tech_innovation_score_100,learner_quality_score_100,facilities_score_100,avg_6criteria_score_100
30,Học viện Tài chính,current_top_100,yes,2026,1.0,71.788194,74.479167,89.583333,53.645833,89.0625,94.791667,29.166667,71.788194
31,Trường Đại học Xây dựng Hà Nội,current_top_100,yes,2026,1.0,71.440972,89.0625,74.479167,79.6875,93.75,86.458333,5.208333,71.440972
32,Trường Đại học Mỏ - Địa chất,current_top_100,yes,2026,1.0,71.09375,79.166667,93.75,81.770833,93.229167,40.625,38.020833,71.09375
33,Trường Đại học Quy Nhơn,current_top_100,yes,2026,1.0,70.138889,84.375,98.4375,68.75,84.375,66.145833,18.75,70.138889
34,Trường Đại học Sư phạm Kỹ thuật TP. Hồ Chí Minh,current_top_100,yes,2026,1.0,69.878472,80.208333,62.5,94.270833,71.875,79.166667,31.25,69.878472
35,Trường Đại học Công đoàn,current_top_100,yes,2026,1.0,69.704861,68.229167,80.729167,42.708333,72.916667,69.270833,84.375,69.704861
36,Trường Đại học Kinh tế Kỹ thuật công nghiệp,current_top_100,yes,2026,1.0,68.836806,80.729167,65.625,61.979167,76.041667,79.6875,48.958333,68.836806
37,Trường Đại học Luật TP. Hồ Chí Minh,current_top_100,yes,2026,1.0,68.402778,68.229167,90.625,30.729167,61.458333,63.020833,96.354167,68.402778
38,Trường Đại học Hàng hải Việt Nam,current_top_100,yes,2026,1.0,68.055556,68.229167,81.25,71.354167,85.9375,68.229167,33.333333,68.055556
39,Trường Đại học Đồng Tháp,current_top_100,yes,2026,1.0,67.100694,86.458333,68.229167,66.145833,78.125,76.5625,27.083333,67.100694
40,Trường Đại học Ngân hàng TP. Hồ Chí Minh,current_top_100,yes,2026,1.0,66.927083,70.833333,91.145833,76.041667,62.5,70.3125,30.729167,66.927083
41,Trường Đại học Y tế Công cộng,current_top_100,yes,2026,1.0,66.753472,70.3125,66.666667,84.375,65.625,64.0625,49.479167,66.753472
42,TRƯỜNG ĐẠI HỌC NÔNG LÂM TP. HỒ CHÍ MINH (CÔNG LẬP),outside_current_top_100_latest_prior_year,no,2025,1.150259,66.672064,74.16073,53.791559,68.76889,72.962543,44.80516,85.543502,66.672064
43,Trường Đại học Luật Hà Nội,current_top_100,yes,2026,1.0,66.319444,68.229167,95.3125,40.625,68.229167,84.375,41.145833,66.319444
44,Trường Đại học Mở TP. Hồ Chí Minh,current_top_100,yes,2026,1.0,66.319444,91.666667,77.604167,88.020833,77.604167,39.583333,23.4375,66.319444
45,Trường Đại học Kiến trúc Hà Nội,current_top_100,yes,2026,1.0,66.059028,68.229167,72.395833,64.583333,73.958333,97.916667,19.270833,66.059028
46,Trường Đại học Y Dược Cần Thơ,current_top_100,yes,2026,1.0,65.538194,68.229167,94.791667,87.5,73.4375,47.395833,21.875,65.538194
47,Học viện Báo chí và Tuyên truyền,current_top_100,yes,2026,1.0,65.364583,68.229167,94.270833,44.791667,75.520833,92.708333,16.666667,65.364583
48,Trường Đại học Thủ đô Hà Nội,current_top_100,yes,2026,1.0,65.364583,68.229167,70.833333,39.0625,56.25,73.958333,83.854167,65.364583
49,Trường Đại học Nha Trang,current_top_100,yes,2026,1.0,64.322917,86.979167,71.354167,74.479167,88.541667,58.854167,5.729167,64.322917
50,TRƯỜNG ĐẠI HỌC CÔNG NGHỆ GIAO THÔNG VẬN TẢI (CÔNG LẬP),outside_current_top_100_latest_prior_year,no,2025,1.11399,64.25815,65.708657,77.312716,73.251295,81.95434,56.42541,30.896481,64.25815
51,Trường Đại học Lâm nghiệp,current_top_100,yes,2026,1.0,64.236111,68.229167,40.625,67.1875,89.583333,29.166667,90.625,64.236111
52,Trường Đại học Hùng Vương,current_top_100,yes,2026,1.0,63.975694,68.229167,38.020833,42.1875,79.166667,72.395833,83.854167,63.975694
53,Trường Đại học Nam Cần Thơ,current_top_100,yes,2026,1.0,63.888889,83.854167,70.3125,96.354167,48.958333,5.208333,78.645833,63.888889
54,Trường Đại học Y Dược Hải Phòng,current_top_100,yes,2026,1.0,63.888889,68.229167,42.708333,55.208333,49.479167,80.729167,86.979167,63.888889
55,Trường Đại học Thủ Dầu Một,current_top_100,yes,2026,1.0,63.107639,84.895833,61.458333,86.979167,70.833333,52.083333,22.395833,63.107639
56,Học viện Hàng không Việt Nam,current_top_100,yes,2026,1.0,63.020833,68.229167,65.104167,51.041667,51.041667,96.875,45.833333,63.020833
57,Trường Đại học Sài Gòn,current_top_100,yes,2026,1.0,62.847222,68.229167,79.166667,72.395833,72.395833,77.083333,7.8125,62.847222
58,Trường Đại học Nguyễn Tất Thành,current_top_100,yes,2026,1.0,62.5,95.833333,73.4375,93.75,94.791667,2.604167,14.583333,62.5
59,Trường Đại học Văn Lang,current_top_100,yes,2026,1.0,62.239583,93.229167,78.125,89.583333,60.416667,19.791667,32.291667,62.239583
60,Trường Đại học Trà Vinh,current_top_100,yes,2026,1.0,61.71875,73.958333,66.145833,70.833333,81.770833,24.479167,53.125,61.71875
61,Trường Đại học Kiểm sát Hà Nội,current_top_100,yes,2026,1.0,61.631944,68.229167,67.708333,23.4375,53.645833,78.125,78.645833,61.631944
62,Trường Đại học Công nghệ TP. Hồ Chí Minh,current_top_100,yes,2026,1.0,61.371528,92.708333,75.520833,90.625,60.9375,41.666667,6.770833,61.371528
63,Đại học Duy Tân,current_top_100,yes,2026,1.0,61.371528,97.916667,54.166667,99.479167,92.708333,8.854167,15.104167,61.371528
64,Trường Đại học Hải Phòng,current_top_100,yes,2026,1.0,61.197917,68.229167,84.895833,41.145833,64.0625,66.666667,42.1875,61.197917
65,Trường Đại học Tây Nguyên,current_top_100,yes,2026,1.0,60.9375,68.229167,44.270833,67.708333,81.25,67.1875,36.979167,60.9375
66,Trường Đại học Điện lực,current_top_100,yes,2026,1.0,60.9375,68.229167,82.291667,73.958333,65.104167,51.5625,24.479167,60.9375
67,Trường Đại học Văn hoá Hà Nội,current_top_100,yes,2026,1.0,60.590278,68.229167,92.1875,11.458333,69.270833,92.1875,30.208333,60.590278
68,Trường Đại học Kỹ thuật y tế Hải Dương,current_top_100,yes,2026,1.0,60.069444,68.229167,63.541667,34.375,28.125,82.291667,83.854167,60.069444
69,Trường Đại học Tân Trào,current_top_100,yes,2026,1.0,59.288194,68.229167,78.645833,47.395833,67.1875,43.229167,51.041667,59.288194
70,Trường Đại học Đà Lạt,current_top_100,yes,2026,1.0,59.201389,68.229167,75.0,64.0625,83.854167,48.4375,15.625,59.201389
71,Trường Đại học Đông Á,current_top_100,yes,2026,1.0,59.201389,68.229167,57.291667,66.666667,40.104167,27.083333,95.833333,59.201389
72,Học viện Quản lý Giáo dục,current_top_100,yes,2026,1.0,58.940972,68.229167,76.041667,38.541667,53.645833,81.770833,35.416667,58.940972
73,Trường Đại học Sư phạm Kỹ thuật Hưng Yên,current_top_100,yes,2026,1.0,58.59375,75.520833,60.9375,70.3125,66.666667,37.5,40.625,58.59375
74,Trường Đại học Y khoa Phạm Ngọc Thạch,current_top_100,yes,2026,1.0,58.506944,75.520833,35.9375,88.541667,40.104167,63.541667,47.395833,58.506944
75,Trường Đại học Công nghệ Đồng Nai,current_top_100,yes,2026,1.0,58.246528,79.166667,32.291667,71.875,38.020833,40.104167,88.020833,58.246528
76,Học viện Ngoại giao,current_top_100,yes,2026,1.0,58.159722,71.875,88.020833,27.083333,66.145833,91.145833,4.6875,58.159722
77,Trường Đại học Y Dược Thái Bình,current_top_100,yes,2026,1.0,56.25,68.229167,64.583333,77.083333,57.291667,49.479167,20.833333,56.25
78,Trường Đại học Lao động - Xã hội,current_top_100,yes,2026,1.0,55.815972,68.229167,83.333333,54.6875,68.75,35.9375,23.958333,55.815972
79,Trường Đại học Công thương TP. Hồ Chí Minh,current_top_100,yes,2026,1.0,55.642361,68.229167,58.854167,76.5625,63.541667,59.375,7.291667,55.642361
80,Trường Đại học Thể dục Thể thao TP. Hồ Chí Minh,current_top_100,yes,2026,1.0,55.555556,68.229167,53.125,8.854167,46.354167,72.916667,83.854167,55.555556
81,Trường Đại học Tài nguyên và Môi trường Hà Nội,current_top_100,yes,2026,1.0,55.381944,83.333333,56.25,58.854167,84.895833,47.916667,1.041667,55.381944
82,TRƯỜNG ĐẠI HỌC GIAO THÔNG VẬN TẢI TP. HỒ CHÍ MINH (CÔNG LẬP),outside_current_top_100_latest_prior_year,no,2025,1.189119,55.103087,65.218858,41.684208,77.605516,76.36685,44.780872,24.962219,55.103087
83,Trường Đại học Thể dục thể thao Đà Nẵng,current_top_100,yes,2026,1.0,53.819444,68.229167,33.333333,12.5,46.354167,83.854167,78.645833,53.819444
84,Trường Đại học FPT,current_top_100,yes,2026,1.0,52.951389,69.791667,48.4375,86.458333,28.125,65.104167,19.791667,52.951389
85,Học viện Chính sách và Phát triển,current_top_100,yes,2026,1.0,52.777778,68.229167,56.770833,28.645833,30.208333,94.270833,38.541667,52.777778
86,Trường Đại học Kiên Giang,current_top_100,yes,2026,1.0,52.517361,68.229167,50.520833,57.8125,21.875,38.020833,78.645833,52.517361
87,Trường Đại học Việt Đức (Công lập),outside_current_top_100_latest_prior_year,no,2023,1.318653,52.444948,0.0,88.845261,93.65285,29.780602,43.516569,64.12052,53.319301
88,Trường Đại học Thăng Long,current_top_100,yes,2026,1.0,52.34375,68.229167,87.5,68.229167,21.875,56.770833,11.458333,52.34375
89,Trường Đại học Mở Hà Nội,current_top_100,yes,2026,1.0,52.170139,68.229167,69.791667,36.458333,70.3125,56.25,11.979167,52.170139
90,Trường Đại học Quốc tế Hồng Bàng,current_top_100,yes,2026,1.0,51.909722,68.229167,44.791667,48.958333,38.020833,61.458333,50.0,51.909722
91,Trường Đại học Lạc Hồng,current_top_100,yes,2026,1.0,50.868056,96.875,36.458333,59.375,40.104167,20.3125,52.083333,50.868056
92,Trường Đại học Kỹ thuật Y - Dược Đà Nẵng,current_top_100,yes,2026,1.0,50.607639,68.229167,52.083333,58.333333,21.875,54.6875,48.4375,50.607639
93,HỌC VIỆN HÀNH CHÍNH QUỐC GIA (Công lập),outside_current_top_100_latest_prior_year,no,2025,1.160622,50.146625,64.251403,71.505289,17.705635,70.900799,72.71427,3.802353,50.146625
94,Học viện Y Dược học cổ truyền Việt Nam,current_top_100,yes,2026,1.0,50.086806,68.229167,73.958333,19.791667,40.104167,89.583333,8.854167,50.086806
95,Trường Đại học Sư phạm Kỹ thuật Vinh,current_top_100,yes,2026,1.0,50.086806,68.229167,58.333333,29.6875,30.208333,35.416667,78.645833,50.086806
96,Học viện Phụ nữ Việt Nam,current_top_100,yes,2026,1.0,49.913194,68.229167,79.6875,14.0625,56.770833,51.041667,29.6875,49.913194
97,"Trường Đại học Văn hoá, Thể thao và Du lịch Thanh Hoá",current_top_100,yes,2026,1.0,49.131944,68.229167,54.6875,13.020833,46.354167,33.854167,78.645833,49.131944
98,Trường Đại học Mỹ thuật TP. Hồ Chí Minh,current_top_100,yes,2026,1.0,48.697917,68.229167,37.5,7.291667,21.875,78.645833,78.645833,48.697917
99,Trường Đại học Tây Đô,current_top_100,yes,2026,1.0,48.611111,77.604167,45.3125,21.875,42.1875,20.833333,83.854167,48.611111
100,Trường Đại học Văn Hiến,current_top_100,yes,2026,1.0,48.350694,76.5625,61.979167,41.666667,55.208333,43.75,10.9375,48.350694
101,Trường Đại Học Tây Bắc (Công lập),outside_current_top_100_latest_prior_year,no,2024,1.502591,48.217113,64.521265,0.0,12.869711,51.999676,75.477655,91.912241,49.463425
102,Trường Đại học Kỹ thuật - Công nghệ Cần Thơ,current_top_100,yes,2026,1.0,47.482639,68.229167,72.916667,46.875,21.875,70.833333,4.166667,47.482639
103,TRƯỜNG ĐẠI HỌC HẠ LONG (CÔNG LẬP),outside_current_top_100_latest_prior_year,no,2025,1.225389,45.101783,62.22744,48.186529,0.958009,53.292315,29.678055,76.268351,45.101783
104,Trường Đại học CMC,current_top_100,yes,2026,1.0,44.618056,7.291667,77.083333,36.979167,21.875,98.4375,26.041667,44.618056
105,Trường Đại học Kiến trúc TP. Hồ Chí Minh,current_top_100,yes,2026,1.0,44.618056,68.229167,55.208333,59.895833,24.479167,53.645833,6.25,44.618056
106,Trường Đại học Công nghiệp Việt - Hung,current_top_100,yes,2026,1.0,44.444444,68.229167,52.604167,17.708333,21.875,27.604167,78.645833,44.444444
107,Trường Đại học Kinh tế - Kỹ thuật Bình Dương,current_top_100,yes,2026,1.0,43.576389,68.229167,59.895833,16.666667,34.895833,3.125,78.645833,43.576389
108,TRƯỜNG ĐẠI HỌC TÀI CHÍNH - MARKETING (CÔNG LẬP),outside_current_top_100_latest_prior_year,no,2025,1.217617,42.599489,62.470315,55.494387,64.372841,70.714594,19.346395,0.0,45.399755
109,Trường Đại học Công nghiệp thực phẩm TP. Hồ Chí Minh (Công lập),outside_current_top_100_latest_prior_year,no,2023,1.411917,42.058641,76.988882,52.721557,68.899773,25.512737,33.601846,0.0,42.954133
110,Trường Đại học Công Thương(Công lập),outside_current_top_100_latest_prior_year,no,2024,1.336788,40.875972,73.367336,50.391299,71.974849,53.872517,22.541559,0.0,45.357927
111,Học viện Toà án (Công lập),outside_current_top_100_latest_prior_year,no,2023,1.722798,40.851009,0.0,52.067142,0.0,81.677731,96.03438,91.547928,53.55453
112,Trường Đại học Hoa Sen,current_top_100,yes,2026,1.0,40.451389,91.145833,49.479167,33.333333,24.479167,30.729167,13.541667,40.451389
113,TRƯỜNG ĐẠI HỌC TÀI CHÍNH - NGÂN HÀNG HÀ NỘI (TƯ THỤC),outside_current_top_100_latest_prior_year,no,2025,1.23057,40.060539,62.065522,30.660352,0.0,28.096665,73.602116,62.065522,42.748363
114,Trường Đại học Kinh tế - Tài chính TP. Hồ Chí Minh (Tư thục),outside_current_top_100_latest_prior_year,no,2024,1.357513,36.651734,87.794149,0.0,64.461895,38.30149,10.01997,19.918502,36.749334
115,TRƯỜNG ĐẠI HỌC VĂN HOÁ TP. HỒ CHÍ MINH (CÔNG LẬP),outside_current_top_100_latest_prior_year,no,2025,1.199482,36.069507,63.037025,68.659596,0.0,48.043502,70.533786,0.0,41.712318
116,TRƯỜNG ĐẠI HỌC Y KHOA VINH (CÔNG LẬP),outside_current_top_100_latest_prior_year,no,2025,1.243523,34.026878,61.66073,30.572647,0.0,1.427569,50.650367,61.66073,34.328674
117,TRƯỜNG ĐẠI HỌC ĐIỀU DƯỠNG NAM ĐỊNH (CÔNG LẬP),outside_current_top_100_latest_prior_year,no,2025,1.253886,32.057786,61.336895,39.132664,4.520185,33.255073,26.071352,28.030548,32.057786
118,Trường Đại học Tài nguyên và Môi trường TP. Hồ Chí Minh (Công lập),outside_current_top_100_latest_prior_year,no,2023,1.497409,30.979688,53.726792,75.564011,52.166991,33.449374,0.0,0.0,35.817861
119,Trường Đại học Tiền Giang (Công lập),outside_current_top_100_latest_prior_year,no,2023,1.707254,28.347861,8.933776,4.487802,35.609618,4.487802,18.714918,97.853249,28.347861
120,TRƯỜNG ĐẠI HỌC KINH DOANH VÀ CÔNG NGHỆ HÀ NỘI (TƯ THỤC),outside_current_top_100_latest_prior_year,no,2025,1.251295,28.180322,61.417854,43.169797,6.673683,25.573456,45.776663,0.0,30.435242
121,Trường Đại học Nội vụ Hà Nội (Công lập),outside_current_top_100_latest_prior_year,no,2023,1.606218,26.902526,43.633959,32.758528,0.0,21.883096,26.065954,37.777958,27.019916
122,TRƯỜNG ĐẠI HỌC BÀ RỊA - VŨNG TÀU (TƯ THỤC),outside_current_top_100_latest_prior_year,no,2025,1.233161,26.873741,83.179512,42.074158,21.521481,6.749244,0.0,15.741041,28.210906
123,Học viện Thanh thiếu niên Việt Nam (Công lập),outside_current_top_100_latest_prior_year,no,2024,1.46114,26.575993,65.514357,28.985859,18.331714,9.9606,44.206067,0.0,27.833099
124,Trường Đại học Y Dược Buôn Ma Thuột (Tư thục),outside_current_top_100_latest_prior_year,no,2024,1.435233,25.519934,66.135039,38.4769,0.0,0.0,22.779037,58.659866,31.008474
125,TRƯỜNG ĐẠI HỌC ĐẠI NAM (TƯ THỤC),outside_current_top_100_latest_prior_year,no,2025,1.246114,24.477592,61.579771,60.281736,12.254426,18.744603,15.499514,0.0,28.060008
126,Trường Đại học An Giang (Công lập),outside_current_top_100_latest_prior_year,no,2023,1.73057,22.855498,17.59769,2.274935,21.203044,37.427138,35.62446,23.005721,22.855498
127,Trường Đại học Ngoại ngữ - Tin học TP. Hồ Chí Minh (Tư thục),outside_current_top_100_latest_prior_year,no,2023,1.715026,15.811654,39.780332,23.701965,0.0,28.168178,46.926274,0.0,23.096125
128,Trường Đại học Mỹ thuật Việt Nam (Công lập),outside_current_top_100_latest_prior_year,no,2023,1.668394,8.411593,11.018458,61.417854,0.0,23.18383,4.066818,0.0,16.614493
129,Trường Đại học Công nghệ Sài Gòn (Tư thục),outside_current_top_100_latest_prior_year,no,2023,1.683938,4.191404,18.955095,48.774827,0.0,0.0,0.0,17.200993,14.155153
130,Trường Đại học Công nghệ Đông Á (Tư thục),outside_current_top_100_latest_prior_year,no,2024,1.476684,1.306131,65.141947,62.065522,0.0,0.0,0.0,0.0,21.201245
131,Trường Đại học dân lập Phương Đông (Tư thục),outside_current_top_100_latest_prior_year,no,2023,1.746114,0.0,0.0,97.79253,0.0,0.0,0.0,0.0,16.298755
