rerank_rank,institution,method_group,in_2026_top_100,source_year,years_available,latest_national_rank,base_avg_6criteria_rank,penalty_multiplier,adjusted_avg_6criteria_rank,rerank_score_100,recognized_quality_rank_used,teaching_rank_used,publications_rank_used,science_tech_innovation_rank_used,learner_quality_rank_used,facilities_rank_used
44,Trường Đại học Mở TP. Hồ Chí Minh,current_top_100,yes,2026,2023|2024|2025|2026,31.0,65.666667,1.0,65.666667,66.319444,17.0,44.0,24.0,44.0,117.0,148.0
45,Trường Đại học Kiến trúc Hà Nội,current_top_100,yes,2026,2023|2024|2025|2026,53.0,66.166667,1.0,66.166667,66.059028,62.0,54.0,69.0,51.0,5.0,156.0
46,Trường Đại học Y Dược Cần Thơ,current_top_100,yes,2026,2023|2024|2025|2026,35.0,67.166667,1.0,67.166667,65.538194,62.0,11.0,25.0,52.0,102.0,151.0
47,Học viện Báo chí và Tuyên truyền,current_top_100,yes,2026,2023|2024|2025|2026,39.0,67.5,1.0,67.5,65.364583,62.0,12.0,107.0,48.0,15.0,161.0
48,Trường Đại học Thủ đô Hà Nội,current_top_100,yes,2026,2023|2024|2025|2026,63.0,67.5,1.0,67.5,65.364583,62.0,57.0,118.0,85.0,51.0,32.0
49,Trường Đại học Nha Trang,current_top_100,yes,2026,2024|2025|2026,44.0,69.5,1.0,69.5,64.322917,26.0,56.0,50.0,23.0,80.0,182.0
50,TRƯỜNG ĐẠI HỌC CÔNG NGHỆ GIAO THÔNG VẬN TẢI (CÔNG LẬP),outside_current_top_100_latest_prior_year,no,2025,2023|2024|2025,44.0,62.5,1.11399,69.624352,64.25815,66.839378,44.559585,52.357513,35.647668,84.663212,133.678756
51,Trường Đại học Lâm nghiệp,current_top_100,yes,2026,2023|2025|2026,91.0,69.666667,1.0,69.666667,64.236111,62.0,115.0,64.0,21.0,137.0,19.0
52,Trường Đại học Hùng Vương,current_top_100,yes,2026,2023|2026,89.0,70.166667,1.0,70.166667,63.975694,62.0,120.0,112.0,41.0,54.0,32.0
53,Trường Đại học Nam Cần Thơ,current_top_100,yes,2026,2023|2024|2025|2026,37.0,70.333333,1.0,70.333333,63.888889,32.0,58.0,8.0,99.0,183.0,42.0
54,Trường Đại học Y Dược Hải Phòng,current_top_100,yes,2026,2023|2025|2026,83.0,70.333333,1.0,70.333333,63.888889,62.0,111.0,87.0,98.0,38.0,26.0
55,Trường Đại học Thủ Dầu Một,current_top_100,yes,2026,2023|2024|2025|2026,58.0,71.833333,1.0,71.833333,63.107639,30.0,75.0,26.0,57.0,93.0,150.0
56,Học viện Hàng không Việt Nam,current_top_100,yes,2026,2023|2025|2026,59.0,72.0,1.0,72.0,63.020833,62.0,68.0,95.0,95.0,7.0,105.0
57,Trường Đại học Sài Gòn,current_top_100,yes,2026,2023|2024|2025|2026,56.0,72.333333,1.0,72.333333,62.847222,62.0,41.0,54.0,54.0,45.0,178.0
58,Trường Đại học Nguyễn Tất Thành,current_top_100,yes,2026,2023|2024|2025|2026,16.0,73.0,1.0,73.0,62.5,9.0,52.0,13.0,11.0,188.0,165.0
59,Trường Đại học Văn Lang,current_top_100,yes,2026,2023|2024|2025|2026,21.0,73.5,1.0,73.5,62.239583,14.0,43.0,21.0,77.0,155.0,131.0
60,Trường Đại học Trà Vinh,current_top_100,yes,2026,2024|2026,69.0,74.5,1.0,74.5,61.71875,51.0,66.0,57.0,36.0,146.0,91.0
61,Trường Đại học Kiểm sát Hà Nội,current_top_100,yes,2026,2025|2026,64.0,74.666667,1.0,74.666667,61.631944,62.0,63.0,148.0,90.0,43.0,42.0
62,Trường Đại học Công nghệ TP. Hồ Chí Minh,current_top_100,yes,2026,2023|2024|2025|2026,33.0,75.166667,1.0,75.166667,61.371528,15.0,48.0,19.0,76.0,113.0,180.0
63,Đại học Duy Tân,current_top_100,yes,2026,2023|2024|2025|2026,7.0,75.166667,1.0,75.166667,61.371528,5.0,89.0,2.0,15.0,176.0,164.0
64,Trường Đại học Hải Phòng,current_top_100,yes,2026,2023|2024|2025|2026,51.0,75.5,1.0,75.5,61.197917,62.0,30.0,114.0,70.0,65.0,112.0
65,Trường Đại học Tây Nguyên,current_top_100,yes,2026,2023|2024|2025|2026,84.0,76.0,1.0,76.0,60.9375,62.0,108.0,63.0,37.0,64.0,122.0
66,Trường Đại học Điện lực,current_top_100,yes,2026,2023|2024|2025|2026,55.0,76.0,1.0,76.0,60.9375,62.0,35.0,51.0,68.0,94.0,146.0
67,Trường Đại học Văn hoá Hà Nội,current_top_100,yes,2026,2024|2026,42.0,76.666667,1.0,76.666667,60.590278,62.0,16.0,171.0,60.0,16.0,135.0
68,Trường Đại học Kỹ thuật y tế Hải Dương,current_top_100,yes,2026,2023|2026,70.0,77.666667,1.0,77.666667,60.069444,62.0,71.0,127.0,139.0,35.0,32.0
69,Trường Đại học Tân Trào,current_top_100,yes,2026,2026,62.0,79.166667,1.0,79.166667,59.288194,62.0,42.0,102.0,64.0,110.0,95.0
70,Trường Đại học Đà Lạt,current_top_100,yes,2026,2023|2024|2025|2026,67.0,79.333333,1.0,79.333333,59.201389,62.0,49.0,70.0,32.0,100.0,163.0
71,Trường Đại học Đông Á,current_top_100,yes,2026,2026,79.0,79.333333,1.0,79.333333,59.201389,62.0,83.0,65.0,116.0,141.0,9.0
72,Học viện Quản lý Giáo dục,current_top_100,yes,2026,2024|2025|2026,61.0,79.833333,1.0,79.833333,58.940972,62.0,47.0,119.0,90.0,36.0,125.0
73,Trường Đại học Sư phạm Kỹ thuật Hưng Yên,current_top_100,yes,2026,2023|2024|2025|2026,74.0,80.5,1.0,80.5,58.59375,48.0,76.0,58.0,65.0,121.0,115.0
74,Trường Đại học Y khoa Phạm Ngọc Thạch,current_top_100,yes,2026,2023|2024|2025|2026,75.0,80.666667,1.0,80.666667,58.506944,48.0,124.0,23.0,116.0,71.0,102.0
75,Trường Đại học Công nghệ Đồng Nai,current_top_100,yes,2026,2023|2024|2025|2026,92.0,81.166667,1.0,81.166667,58.246528,41.0,131.0,55.0,120.0,116.0,24.0
76,Học viện Ngoại giao,current_top_100,yes,2026,2023|2024|2025|2026,46.0,81.333333,1.0,81.333333,58.159722,55.0,24.0,141.0,66.0,18.0,184.0
77,Trường Đại học Y Dược Thái Bình,current_top_100,yes,2026,2023|2024|2025|2026,72.0,85.0,1.0,85.0,56.25,62.0,69.0,45.0,83.0,98.0,153.0
78,Trường Đại học Lao động - Xã hội,current_top_100,yes,2026,2023|2024|2025|2026,66.0,85.833333,1.0,85.833333,55.815972,62.0,33.0,88.0,61.0,124.0,147.0
79,Trường Đại học Công thương TP. Hồ Chí Minh,current_top_100,yes,2026,2025|2026,78.0,86.166667,1.0,86.166667,55.642361,62.0,80.0,46.0,71.0,79.0,179.0
80,Trường Đại học Thể dục Thể thao TP. Hồ Chí Minh,current_top_100,yes,2026,2025|2026,80.0,86.333333,1.0,86.333333,55.555556,62.0,91.0,176.0,104.0,53.0,32.0
81,Trường Đại học Tài nguyên và Môi trường Hà Nội,current_top_100,yes,2026,2023|2024|2025|2026,77.0,86.666667,1.0,86.666667,55.381944,33.0,85.0,80.0,30.0,101.0,191.0
82,TRƯỜNG ĐẠI HỌC GIAO THÔNG VẬN TẢI TP. HỒ CHÍ MINH (CÔNG LẬP),outside_current_top_100_latest_prior_year,no,2025,2023|2024|2025,73.0,73.333333,1.189119,87.202073,55.103087,67.779793,112.966321,43.997409,46.375648,107.020725,145.072539
83,Trường Đại học Thể dục thể thao Đà Nẵng,current_top_100,yes,2026,2026,96.0,89.666667,1.0,89.666667,53.819444,62.0,129.0,169.0,104.0,32.0,42.0
84,Trường Đại học FPT,current_top_100,yes,2026,2023|2024|2025|2026,81.0,91.333333,1.0,91.333333,52.951389,59.0,100.0,27.0,139.0,68.0,155.0
85,Học viện Chính sách và Phát triển,current_top_100,yes,2026,2023|2024|2025|2026,71.0,91.666667,1.0,91.666667,52.777778,62.0,84.0,138.0,135.0,12.0,119.0
86,Trường Đại học Kiên Giang,current_top_100,yes,2026,2024|2025|2026,95.0,92.166667,1.0,92.166667,52.517361,62.0,96.0,82.0,151.0,120.0,42.0
87,Trường Đại học Việt Đức (Công lập),outside_current_top_100_latest_prior_year,no,2023,2023,41.0,70.0,1.318653,92.305699,52.444948,193.0,22.417098,13.186528,135.821244,109.448187,69.888601
88,Trường Đại học Thăng Long,current_top_100,yes,2026,2023|2024|2025|2026,60.0,92.5,1.0,92.5,52.34375,62.0,25.0,62.0,151.0,84.0,171.0
89,Trường Đại học Mở Hà Nội,current_top_100,yes,2026,2023|2024|2025|2026,76.0,92.833333,1.0,92.833333,52.170139,62.0,59.0,123.0,58.0,85.0,170.0
90,Trường Đại học Quốc tế Hồng Bàng,current_top_100,yes,2026,2023|2024|2025|2026,90.0,93.333333,1.0,93.333333,51.909722,62.0,107.0,99.0,120.0,75.0,97.0
91,Trường Đại học Lạc Hồng,current_top_100,yes,2026,2026,52.0,95.333333,1.0,95.333333,50.868056,7.0,123.0,79.0,116.0,154.0,93.0
92,Trường Đại học Kỹ thuật Y - Dược Đà Nẵng,current_top_100,yes,2026,2023|2024|2025|2026,85.0,95.833333,1.0,95.833333,50.607639,62.0,93.0,81.0,151.0,88.0,100.0
93,HỌC VIỆN HÀNH CHÍNH QUỐC GIA (Công lập),outside_current_top_100_latest_prior_year,no,2025,2024|2025,62.0,83.333333,1.160622,96.71848,50.146625,69.637306,55.709845,159.005181,56.870466,53.388601,185.699482
94,Học viện Y Dược học cổ truyền Việt Nam,current_top_100,yes,2026,2023|2024|2025|2026,65.0,96.833333,1.0,96.833333,50.086806,62.0,51.0,155.0,116.0,21.0,176.0
95,Trường Đại học Sư phạm Kỹ thuật Vinh,current_top_100,yes,2026,2023|2024|2026,86.0,96.833333,1.0,96.833333,50.086806,62.0,81.0,136.0,135.0,125.0,42.0
96,Học viện Phụ nữ Việt Nam,current_top_100,yes,2026,2023|2024|2025|2026,68.0,97.166667,1.0,97.166667,49.913194,62.0,40.0,166.0,84.0,95.0,136.0
97,"Trường Đại học Văn hoá, Thể thao và Du lịch Thanh Hoá",current_top_100,yes,2026,2026,94.0,98.666667,1.0,98.666667,49.131944,62.0,88.0,168.0,104.0,128.0,42.0
98,Trường Đại học Mỹ thuật TP. Hồ Chí Minh,current_top_100,yes,2026,2025|2026,98.0,99.5,1.0,99.5,48.697917,62.0,121.0,179.0,151.0,42.0,42.0
99,Trường Đại học Tây Đô,current_top_100,yes,2026,2023|2024|2025|2026,100.0,99.666667,1.0,99.666667,48.611111,44.0,106.0,151.0,112.0,153.0,32.0
100,Trường Đại học Văn Hiến,current_top_100,yes,2026,2023|2025|2026,82.0,100.166667,1.0,100.166667,48.350694,46.0,74.0,113.0,87.0,109.0,172.0
101,Trường Đại Học Tây Bắc (Công lập),outside_current_top_100_latest_prior_year,no,2024,2024,97.0,66.833333,1.502591,100.423143,48.217113,69.119171,193.0,168.290155,93.160622,48.082902,16.528497
102,Trường Đại học Kỹ thuật - Công nghệ Cần Thơ,current_top_100,yes,2026,2023|2024|2025|2026,73.0,101.833333,1.0,101.833333,47.482639,62.0,53.0,103.0,151.0,57.0,185.0
103,TRƯỜNG ĐẠI HỌC HẠ LONG (CÔNG LẬP),outside_current_top_100_latest_prior_year,no,2025,2024|2025,87.0,86.833333,1.225389,106.404577,45.101783,73.523316,100.481865,191.160622,90.678756,136.018135,46.564767
104,Trường Đại học CMC,current_top_100,yes,2026,2026,88.0,107.333333,1.0,107.333333,44.618056,179.0,45.0,122.0,151.0,4.0,143.0
105,Trường Đại học Kiến trúc TP. Hồ Chí Minh,current_top_100,yes,2026,2023|2024|2025|2026,93.0,107.333333,1.0,107.333333,44.618056,62.0,87.0,78.0,146.0,90.0,181.0
106,Trường Đại học Công nghiệp Việt - Hung,current_top_100,yes,2026,2024|2026,99.0,107.666667,1.0,107.666667,44.444444,62.0,92.0,159.0,151.0,140.0,42.0
107,Trường Đại học Kinh tế - Kỹ thuật Bình Dương,current_top_100,yes,2026,2026,97.0,109.333333,1.0,109.333333,43.576389,62.0,78.0,161.0,126.0,187.0,42.0
108,TRƯỜNG ĐẠI HỌC TÀI CHÍNH - MARKETING (CÔNG LẬP),outside_current_top_100_latest_prior_year,no,2025,2023|2024|2025,84.0,91.333333,1.217617,111.208981,42.599489,73.056995,86.450777,69.404145,57.227979,155.854922,193.0
109,Trường Đại học Công nghiệp thực phẩm TP. Hồ Chí Minh (Công lập),outside_current_top_100_latest_prior_year,no,2023,2023,53.0,79.5,1.411917,112.247409,42.058641,45.181347,91.774611,60.712435,144.015544,128.484456,193.0
110,Trường Đại học Công Thương(Công lập),outside_current_top_100_latest_prior_year,no,2024,2024,65.0,85.666667,1.336788,114.518135,40.875972,52.134715,96.248705,54.80829,89.564767,149.720207,193.0
111,Học viện Toà án (Công lập),outside_current_top_100_latest_prior_year,no,2023,2023,93.0,66.5,1.722798,114.566062,40.851009,193.0,93.031088,193.0,36.178756,8.61399,17.227979
112,Trường Đại học Hoa Sen,current_top_100,yes,2026,2024|2026,87.0,115.333333,1.0,115.333333,40.451389,18.0,98.0,129.0,146.0,134.0,167.0
113,TRƯỜNG ĐẠI HỌC TÀI CHÍNH - NGÂN HÀNG HÀ NỘI (TƯ THỤC),outside_current_top_100_latest_prior_year,no,2025,2025,89.0,94.333333,1.23057,116.083765,40.060539,73.834197,134.132124,193.0,139.054404,51.683938,73.834197
114,Trường Đại học Kinh tế - Tài chính TP. Hồ Chí Minh (Tư thục),outside_current_top_100_latest_prior_year,no,2024,2024,69.0,90.333333,1.357513,122.62867,36.651734,24.435233,193.0,69.233161,119.46114,173.761658,154.756477
115,TRƯỜNG ĐẠI HỌC VĂN HOÁ TP. HỒ CHÍ MINH (CÔNG LẬP),outside_current_top_100_latest_prior_year,no,2025,2023|2024|2025,77.0,103.166667,1.199482,123.746546,36.069507,71.968912,61.173575,193.0,100.756477,57.57513,193.0
116,TRƯỜNG ĐẠI HỌC Y KHOA VINH (CÔNG LẬP),outside_current_top_100_latest_prior_year,no,2025,2023|2024|2025,94.0,102.666667,1.243523,127.668394,34.026878,74.611399,134.300518,193.0,190.259067,95.751295,74.611399
117,TRƯỜNG ĐẠI HỌC ĐIỀU DƯỠNG NAM ĐỊNH (CÔNG LẬP),outside_current_top_100_latest_prior_year,no,2025,2024|2025,98.0,104.833333,1.253886,131.44905,32.057786,75.233161,117.865285,184.321244,129.150259,142.943005,139.181347
118,Trường Đại học Tài nguyên và Môi trường TP. Hồ Chí Minh (Công lập),outside_current_top_100_latest_prior_year,no,2023,2023,64.0,89.166667,1.497409,133.518998,30.979688,89.84456,47.917098,92.839378,128.777202,193.0,193.0
119,Trường Đại học Tiền Giang (Công lập),outside_current_top_100_latest_prior_year,no,2023,2023,91.0,81.166667,1.707254,138.572107,28.347861,175.84715,184.38342,124.629534,184.38342,157.067358,5.121762
120,TRƯỜNG ĐẠI HỌC KINH DOANH VÀ CÔNG NGHỆ HÀ NỘI (TƯ THỤC),outside_current_top_100_latest_prior_year,no,2025,2023|2024|2025,97.0,111.0,1.251295,138.893782,28.180322,75.07772,110.11399,180.186528,143.898964,105.108808,193.0
121,Trường Đại học Nội vụ Hà Nội (Công lập),outside_current_top_100_latest_prior_year,no,2023,2023,78.0,88.0,1.606218,141.34715,26.902526,109.222798,130.103627,193.0,150.984456,142.953368,120.466321
122,TRƯỜNG ĐẠI HỌC BÀ RỊA - VŨNG TÀU (TƯ THỤC),outside_current_top_100_latest_prior_year,no,2025,2024|2025,90.0,114.666667,1.233161,141.402418,26.873741,33.295337,112.217617,151.678756,180.041451,193.0,162.777202
123,Học viện Thanh thiếu niên Việt Nam (Công lập),outside_current_top_100_latest_prior_year,no,2024,2024,89.0,97.166667,1.46114,141.974093,26.575993,67.212435,137.34715,157.803109,173.875648,108.124352,193.0
124,Trường Đại học Y Dược Buôn Ma Thuột (Tư thục),outside_current_top_100_latest_prior_year,no,2024,2024,84.0,100.333333,1.435233,144.001727,25.519934,66.020725,119.124352,193.0,193.0,149.264249,80.373057
125,TRƯỜNG ĐẠI HỌC ĐẠI NAM (TƯ THỤC),outside_current_top_100_latest_prior_year,no,2025,2025,95.0,117.166667,1.246114,146.003022,24.477592,74.766839,77.259067,169.471503,157.010363,163.240933,193.0
126,Trường Đại học An Giang (Công lập),outside_current_top_100_latest_prior_year,no,2023,2023,94.0,86.166667,1.73057,149.117444,22.855498,159.212435,188.632124,152.290155,121.139896,124.601036,148.829016
127,Trường Đại học Ngoại ngữ - Tin học TP. Hồ Chí Minh (Tư thục),outside_current_top_100_latest_prior_year,no,2023,2023,92.0,94.833333,1.715026,162.641623,15.811654,116.621762,147.492228,193.0,138.917098,102.901554,193.0
128,Trường Đại học Mỹ thuật Việt Nam (Công lập),outside_current_top_100_latest_prior_year,no,2023,2023,86.0,106.0,1.668394,176.849741,8.411593,171.84456,75.07772,193.0,148.487047,185.19171,193.0
129,Trường Đại học Công nghệ Sài Gòn (Tư thục),outside_current_top_100_latest_prior_year,no,2023,2023,88.0,109.833333,1.683938,184.952504,4.191404,156.606218,99.352332,193.0,193.0,193.0,159.974093
130,Trường Đại học Công nghệ Đông Á (Tư thục),outside_current_top_100_latest_prior_year,no,2024,2024,92.0,129.0,1.476684,190.492228,1.306131,67.927461,73.834197,193.0,193.0,193.0,193.0
131,Trường Đại học dân lập Phương Đông (Tư thục),outside_current_top_100_latest_prior_year,no,2023,2023,96.0,127.0,1.746114,193.0,0.0,193.0,5.238342,193.0,193.0,193.0,193.0
