code,subject_1,subject_2,subject_3,display_name,is_verified
D06,Toán,Lý,Tiếng Anh,D06,true
D07,Toán,Hóa,Tiếng Anh,D07,true
D08,Toán,Sinh,Tiếng Anh,D08,true
D09,Toán,Lịch sử,Tiếng Anh,D09,true
D10,Toán,Địa lý,Tiếng Anh,D10,true
D11,Toán,Lý,Giáo dục công dân,D11,true
D12,Toán,Hóa,Giáo dục công dân,D12,true
D13,Toán,Sinh,Giáo dục công dân,D13,true
D14,Văn,Sử,Tiếng Anh,D14,true
D15,Văn,Địa,Tiếng Anh,D15,true
D16,Văn,Lý,Tiếng Anh,D16,true
D20,Toán,Lý,Hóa,D20,true
D21,Toán,Hóa,Sinh,D21,true
D22,Toán,Lý,Sinh,D22,true
D23,Văn,Toán,Tiếng Anh,D23,true
D24,Văn,Lý,Tiếng Anh,D24,true
D25,Văn,Hóa,Tiếng Anh,D25,true
D26,Văn,Sinh,Tiếng Anh,D26,true
D27,Toán,Sử,Địa,D27,true
D28,Toán,Sử,Tiếng Anh,D28,true
D29,Toán,Địa,Tiếng Anh,D29,true
D30,Toán,Lịch sử,Giáo dục công dân,D30,true
D31,Toán,Địa lý,Giáo dục công dân,D31,true
D32,Toán,Toán,Tiếng Anh,D32,true
D33,Lý,Hóa,Sinh,D33,true
D34,Lý,Hóa,Tiếng Anh,D34,true
D35,Hóa,Sinh,Tiếng Anh,D35,true
D40,Toán,Tiếng Anh,Tiếng Pháp,D40,true
D41,Toán,Tiếng Anh,Tiếng Đức,D41,true
D42,Toán,Tiếng Anh,Tiếng Tây Ban Nha,D42,true
D43,Toán,Tiếng Anh,Tiếng Trung,D43,true
D44,Toán,Tiếng Anh,Tiếng Nhật,D44,true
D45,Toán,Tiếng Anh,Tiếng Hàn,D45,true
D55,Toán,Tiếng Anh,Tiếng Anh,D55,true
D61,Lý,Hóa,Địa lý,D61,true
D62,Lý,Hóa,Lịch sử,D62,true
D63,Lý,Sinh,Địa lý,D63,true
D64,Lý,Sinh,Lịch sử,D64,true
D65,Hóa,Sinh,Địa lý,D65,true
D66,Văn,Toán,Tiếng Nhật,D66,true
D68,Toán,Lý,Địa lý,D68,true
D69,Toán,Hóa,Địa lý,D69,true
D70,Toán,Sinh,Địa lý,D70,true
D71,Toán,Lý,Lịch sử,D71,true
D72,Toán,Hóa,Lịch sử,D72,true
D78,Toán,Sinh,Lịch sử,D78,true
D83,Ngữ văn,Khoa học xã hội,Tiếng Trung,D83,true
D84,Lý,Sinh,Giáo dục công dân,D84,true
D89,Hóa,Sinh,Giáo dục công dân,D89,true
D90,Toán,Khoa học tự nhiên,Tiếng Anh,D90,true
D91,Toán,Tiếng Anh,Tiếng Pháp,D91,true
D96,Toán,Lý,Tiếng Pháp,D96,true
D97,Toán,Lý,Tiếng Đức,D97,true
D98,Toán,Lý,Tiếng Nhật,D98,true
H00,Toán,Lý,Hóa,H00,true
H01,Toán,Hóa,Sinh,H01,true
H02,Toán,Lý,Sinh,H02,true
H04,Toán,Lý,Tiếng Anh,H04,true
H05,Ngữ văn,Khoa học xã hội,Vẽ Năng khiếu,H05,true
H06,Toán,Hóa,Tiếng Anh,H06,true
H07,Toán,Sinh,Tiếng Anh,H07,true
H08,Toán,Lý,Lịch sử,H08,true
H09,Toán,Lý,Địa lý,H09,true
K00,Toán,Lý,Hóa,K00,true
K01,Toán,Tiếng Anh,Tin học,K01,true
K02,Toán,Đọc hiểu,Tiếng Anh,K02,true
M00,Toán,Hóa,Sinh,M00,true
M01,Toán,Lý,Sinh,M01,true
M02,Toán,Lý,Hóa,M02,true
M03,,,,Tổ hợp M03,false
M10,,,,Tổ hợp M10,false
N00,Văn,Sử,Địa,N00,true
N01,Văn,Sử,Tiếng Anh,N01,true
N02,Văn,Địa,Tiếng Anh,N02,true
N03,,,,Tổ hợp N03,false
N05,,,,Tổ hợp N05,false
N06,,,,Tổ hợp N06,false
Q00,Toán,Lý,Hóa,Q00,true
Q01,,,,Tổ hợp Q01,false
Q02,,,,Tổ hợp Q02,false
Q03,,,,Tổ hợp Q03,false
Q04,,,,Tổ hợp Q04,false
Q05,,,,Tổ hợp Q05,false
Q06,,,,Tổ hợp Q06,false
Q07,,,,Tổ hợp Q07,false
Q08,,,,Tổ hợp Q08,false
Q09,,,,Tổ hợp Q09,false
Q10,,,,Tổ hợp Q10,false
Q21,,,,Tổ hợp Q21,false
R00,Toán,Hóa,Sinh,R00,true
R05,Ngữ văn,Tiếng Anh,Năng khiếu báo chí,R05,true
R06,Ngữ văn,Khoa học tự nhiên,Năng khiếu báo chí,R06,true
R07,Ngữ văn,Toán,Năng khiếu ảnh báo chí,R07,true
R08,Ngữ văn,Tiếng Anh,Năng khiếu ảnh báo chí,R08,true
R09,Ngữ văn,Khoa học tự nhiên,Năng khiếu ảnh báo chí,R09,true
R11,Ngữ văn,Toán,Năng khiếu quay phim truyền hình,R11,true
R12,Ngữ văn,Tiếng Anh,Năng khiếu quay phim truyền hình,R12,true
R13,Ngữ văn,Khoa học tự nhiên,Năng khiếu quay phim truyền hình,R13,true
R15,Ngữ văn,Toán,Năng khiếu báo chí,R15,true
R16,Ngữ văn,Khoa học xã hội,Năng khiếu báo chí,R16,true
R17,Ngữ văn,Khoa học xã hội,Năng khiếu ảnh báo chí,R17,true
R18,Ngữ văn,Khoa học xã hội,Năng khiếu quay phim truyền hình,R18,true
R19,Ngữ văn,Điểm quy đổi chứng chỉ Tiếng Anh,Năng khiếu báo chí,R19,true
R20,Ngữ văn,Điểm quy đổi chứng chỉ Tiếng Anh,Năng khiếu ảnh báo chí,R20,true
R21,Ngữ văn,Điểm quy đổi chứng chỉ Tiếng Anh,Năng khiếu quay phim truyền hình,R21,true
R22,Toán,Lý,Tiếng Anh,R22,true
R23,Toán,Lý,Hóa,R23,true
R24,Ngữ văn,Toán,Điểm quy đổi chứng chỉ Tiếng Anh,R24,true
R25,Toán,Hóa,Sinh,R25,true
R26,Toán,Sinh,Tiếng Anh,R26,true
R27,Toán,Lý,Sinh,R27,true
S00,Toán,Lý,Hóa,S00,true
T00,Toán,Hóa,Sinh,T00,true
T01,Toán,Lý,Sinh,T01,true
T02,Toán,Lý,Hóa,T02,true
T04,,,,Tổ hợp T04,false
T05,Toán,Lý,Tiếng Anh,T05,true
T08,Toán,Hóa,Tiếng Anh,T08,true
T09,Toán,Sinh,Tiếng Anh,T09,true
T10,Toán,Lý,Lịch sử,T10,true
T11,Toán,Lý,Địa lý,T11,true
T49,Văn,Sử,Địa,T49,true
V00,Văn,Sử,Địa,V00,true
V01,Văn,Sử,Tiếng Anh,V01,true
V02,Văn,Địa,Tiếng Anh,V02,true
V03,Văn,Toán,Tiếng Anh,V03,true
V05,Văn,Lý,Tiếng Anh,V05,true
V06,Văn,Toán,Hóa,V06,true
V10,Văn,Toán,Sinh,V10,true
X01,Toán,Lý,Hóa,X01,true
X02,Toán,Lý,Sinh,X02,true
X03,Toán,Hóa,Sinh,X03,true
X04,Toán,Lý,Tiếng Anh,X04,true
X05,Toán,Hóa,Tiếng Anh,X05,true
X06,Toán,Sinh,Tiếng Anh,X06,true
X07,Toán,Lý,Lịch sử,X07,true
X08,Toán,Lý,Địa lý,X08,true
X09,Toán,Hóa,Lịch sử,X09,true
X10,Toán,Hóa,Địa lý,X10,true
X11,Toán,Sinh,Lịch sử,X11,true
X12,Toán,Sinh,Địa lý,X12,true
X13,Toán,Lịch sử,Địa lý,X13,true
X14,Toán,Lý,Giáo dục công dân,X14,true
X15,Toán,Hóa,Giáo dục công dân,X15,true
X16,Toán,Sinh,Giáo dục công dân,X16,true
X17,Toán,Lịch sử,Giáo dục công dân,X17,true
X18,Toán,Địa lý,Giáo dục công dân,X18,true
X21,Văn,Toán,Lý,X21,true
X22,Văn,Toán,Hóa,X22,true
X23,Văn,Toán,Sinh,X23,true
X24,Văn,Toán,Tiếng Anh,X24,true
X25,Văn,Toán,Lịch sử,X25,true
X26,Văn,Toán,Địa lý,X26,true
X27,Văn,Toán,Giáo dục công dân,X27,true
X28,Văn,Lý,Tiếng Anh,X28,true
X37,Văn,Sử,Địa,X37,true
X53,Lý,Hóa,Sinh,X53,true
X56,Lý,Hóa,Tiếng Anh,X56,true
X57,Lý,Sinh,Tiếng Anh,X57,true
X58,Hóa,Sinh,Tiếng Anh,X58,true
X62,Lý,Hóa,Lịch sử,X62,true
X70,Lý,Hóa,Địa lý,X70,true
X71,Lý,Sinh,Địa lý,X71,true
X74,Lý,Lịch sử,Địa lý,X74,true
X78,Hóa,Sinh,Lịch sử,X78,true
X79,Hóa,Sinh,Địa lý,X79,true
X80,Hóa,Lịch sử,Địa lý,X80,true
X90,Sinh,Lịch sử,Địa lý,X90,true
Y08,,,,Tổ hợp Y08,false
Y09,Toán,Lý,Hóa,Y09,true
