old_code,new_code,effective_year,reason,is_verified
7140218C,7140218,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140218D,7140218,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140219B,7140219,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140219C,7140219,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140221A,7140221,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140221B,7140221,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140222A,7140222,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140222B,7140222,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140231A,7140231,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140231B,7140231,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140233C,7140233,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140233D,7140233,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140246A,7140246,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140246C,7140246,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7140246DKK,7140246,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7210105_1,7210105,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7210226B,7210226,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7210226C,7210226,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7210226E,7210226,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7210227A,7210227,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7210227B,7210227,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7210233A,7210233,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7210233B,7210233,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7210234A,7210234,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7210235A,7210235,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7210235B,7210235,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7210235C,7210235,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7210236A,7210236,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7210236B,7210236,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7210243A,7210243,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7210301A,7210301,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7210301B,7210301,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7210301C,7210301,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7210302A,7210302,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7210302B,7210302,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7210403_1,7210403,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7210406A,7210406,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7210406B,7210406,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7210406C,7210406,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7210406D,7210406,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7210406E,7210406,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7210406F,7210406,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7220101_A,7220101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7220112A,7220112,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7220112B,7220112,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
72202001,7220200,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7220201DKD,7220201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7220201DKK,7220201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7220201_Nam,7220201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7220201_Nu,7220201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7220202_Nam,7220202,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7220202_Nu,7220202,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7220204A,7220204,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7220204B,7220204,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7220204LK,7220204,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7220204_LK,7220204,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7220212QTD,7220212,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7229001B,7229001,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7229001C,7229001,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7229030C,7229030,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7229030D,7229030,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7229040A,7229040,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7229040B,7229040,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7229040C,7229040,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7229042A,7229042,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7229042B,7229042,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7229042C,7229042,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7229042D,7229042,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7229042E,7229042,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
73101011,7310101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
73101012,7310101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
73101013,7310101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310101A,7310101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310101B,7310101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310101E,7310101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310101_1,7310101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310101_2,7310101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310101_3,7310101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310104QT12,7310104,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310106_1,7310106,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310106_2,7310106,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310106_CLC,7310106,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310110DKK,7310110,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310201B,7310201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310201C,7310201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310202_Nam_B,7310202,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310202_Nam_N,7310202,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310202_Nu_B,7310202,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310202_Nu_N,7310202,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310205HCM,7310205,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310205QN,7310205,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310205TP-HCM,7310205,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310401A,7310401,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310401B,7310401,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310401C,7310401,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310401D,7310401,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310403C,7310403,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310403D,7310403,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310630C,7310630,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310630D,7310630,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7310630_A,7310630,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
73201041,7320104,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7320104_CLC,7320104,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7320104_LK,7320104,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7320201A,7320201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7320201B,7320201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7320303TP-HCM,7320303,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7329001_,7329001,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7329001_GAM,7329001,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7329001_LK,7329001,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7329001_VHO,7329001,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
734010101,7340101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
73401012,7340101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340101A,7340101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340101B,7340101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340101C,7340101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340101CLC,7340101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340101DKD,7340101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340101DKK,7340101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340101E,7340101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340101LK,7340101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340101P,7340101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340101QT,7340101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340101QT03,7340101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340101TA,7340101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340101_,7340101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340101_1,7340101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340101_2,7340101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340101_AP,7340101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340101_IU,7340101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340101_IV,7340101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340101_LOG,7340101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340101_LTT,7340101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340110QT,7340110,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340115DKD,7340115,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340115DKK,7340115,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340115QT11,7340115,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340115TA,7340115,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340115_2,7340115,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340115_CLC,7340115,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340115_QHC,7340115,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340116QT09,7340116,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340120QT15,7340120,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340120_LK,7340120,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340121DKD,7340121,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340121DKK,7340121,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
73402011,7340201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
73402012,7340201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
73402013,7340201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340201A,7340201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340201B,7340201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340201C06,7340201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340201C09,7340201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340201C11,7340201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340201D,7340201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340201DKD,7340201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340201DKK,7340201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340201QT01,7340201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340201TA,7340201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340201_1,7340201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340201_2,7340201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340201_AP,7340201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340201_AP_NH,7340201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340201_AP_TC,7340201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340201_CLC,7340201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340201_DAT,7340201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340201_NH,7340201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340201_TC,7340201,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340204A,7340204,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340204B,7340204,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340204C,7340204,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340204DKD,7340204,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340204DKK,7340204,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340205_LK,7340205,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340301A,7340301,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340301B,7340301,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340301C,7340301,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340301C21,7340301,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340301C22,7340301,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340301D,7340301,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340301DKD,7340301,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340301DKK,7340301,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340301PH,7340301,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340301QT,7340301,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340301QT02,7340301,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340301TA,7340301,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340301TN,7340301,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340301VP,7340301,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340301_2,7340301,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340301_AP,7340301,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340301_CLC,7340301,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340301_I,7340301,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340301_J,7340301,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340302C21,7340302,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340302C22,7340302,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340302DKD,7340302,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340302DKK,7340302,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340302QT10,7340302,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340404A,7340404,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340404B,7340404,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340404C,7340404,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340404QN,7340404,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340405_J,7340405,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340406HCM,7340406,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340406QN,7340406,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7340406TP-HCM,7340406,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7380101CLC,7380101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7380101HCM,7380101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7380101LK,7380101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7380101PH,7380101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7380101QN,7380101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7380101TP-HCM,7380101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7380101_B,7380101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7380101_C00,7380101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7380101_N,7380101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7380107_A,7380107,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7380107_C,7380107,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7380107_C00,7380107,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7380108_C00,7380108,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7420101B,7420101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7420101D,7420101,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
7440112A,7440112,,Chuyên ngành/biến thể của mã ngành quốc gia (campus/CLC/chuyên ngành),false
